,0
0,Washington
1,Nevada
2,Georgia
3,Michigan
4,Pennsylvania
5,Indiana
6,Kansas
7,Nebraska
8,Kentucky
9,South Dakota
10,Arizona
11,New Jersey
12,Alaska
13,Rhode Island
14,Colorado
15,Oklahoma
16,Utah
17,Arkansas
18,Mississippi
19,Virginia
20,Illinois
21,Wyoming
22,Massachusetts
23,West Virginia
24,Alabama
25,Tennessee
26,Maryland
27,North Dakota
28,Oregon
29,Hawaii
30,Connecticut
31,Louisiana
32,South Carolina
33,North Carolina
34,Idaho
35,Montana
36,New Mexico
37,Vermont
38,Wisconsin
39,Missouri
40,Minnesota
41,Iowa
42,Maine
43,Delaware
44,New Hampshire
